"Time","Temperature [AmbientT(Therm3T)]","Temperature [Temperature]","Heat flow [Signal]","Heat [Signal]","Normalized heat flow [Signal]","Normalized heat [Signal]","Time markers"
-313.3412435054779,24.381003751643938,20.000167633600437,NaN,NaN,NaN,NaN,""
-312.3412435054779,24.38779466048032,20.000157526345074,1.8965950257945133E-08,NaN,4.741487564486283E-09,NaN,""
-310.8412435054779,24.397981023734886,20.000142365462033,3.530887512676316E-08,NaN,8.82721878169079E-09,NaN,""
-308.0912435054779,24.416656023034932,20.000114570509787,-9.244462888572249E-09,NaN,-2.311115722143062E-09,NaN,""
-305.8412435054779,24.431935567916785,20.000091829185223,2.065798775755284E-08,NaN,5.16449693938821E-09,NaN,""
-303.8412435054779,24.445517385589547,20.0000716146745,-1.786382587492638E-08,NaN,-4.465956468731595E-09,NaN,""
-302.2865560054779,24.456075126671106,20.000055901050928,2.5742992335824633E-08,NaN,6.435748083956158E-09,NaN,""
-301.0990560054779,24.478029022515518,20.000043898685185,4.5060104431232495E-08,NaN,1.1265026107808124E-08,NaN,""
-297.0912435054779,24.552123420990405,20.000003390700808,4.767659179633892E-09,NaN,1.191914794908473E-09,NaN,""
-294.8412435054779,24.593720276274553,19.999980649376244,4.764936961682211E-08,NaN,1.1912342404205528E-08,NaN,""
-292.8412435054779,24.63069525874935,19.999960434865518,-6.915306242687731E-09,NaN,-1.7288265606719328E-09,NaN,""
-288.6146810054779,24.69126029213853,19.99992016875157,1.9724119738642763E-08,NaN,4.931029934660691E-09,NaN,""
-284.3881185054779,24.66717016746683,19.99990858135709,4.6363545719973255E-08,NaN,1.1590886429993314E-08,NaN,""
-277.8412435054779,24.629854965110297,19.9998906326758,5.001427185726483E-09,NaN,1.2503567964316208E-09,NaN,""
-273.8412435054779,24.607056177990316,19.999879666417073,5.427217303914161E-08,NaN,1.3568043259785402E-08,NaN,""
-270.3412435054779,24.587107239260334,19.99987007094068,1.0856614991218273E-07,NaN,2.7141537478045682E-08,NaN,""
-268.7787435054779,24.581953276702368,19.99986578724586,8.524193870891698E-08,NaN,2.1310484677229244E-08,NaN,""
-267.2162435054779,24.58242703463558,19.999861503551045,6.191772750565122E-08,NaN,1.5479431876412805E-08,NaN,""
-263.5912435054779,24.583526153040623,19.999851565379068,1.2012492142690608E-08,NaN,3.003123035672652E-09,NaN,""
-259.4662435054779,24.584776873984293,19.999840256424747,3.65483452438076E-08,NaN,9.1370863109519E-09,NaN,""
-255.7162435054779,24.585913893023992,19.999829975557187,5.787444156158869E-09,NaN,1.4468610390397173E-09,NaN,""
-252.0912435054779,24.587013011429036,19.99982003738521,7.686555468107786E-08,NaN,1.9216388670269466E-08,NaN,""
-250.1537435054779,24.587600471266214,19.999880372640618,4.6308435499252485E-08,NaN,1.1577108874813121E-08,NaN,""
-249.1537435054779,24.587903676343466,19.999911513417608,4.794532716828263E-08,NaN,1.1986331792070657E-08,NaN,""
-246.4662435054779,24.588718539988584,19.99999520425576,8.001310044460591E-08,NaN,2.0003275111151477E-08,NaN,""
